haloID mh rh halo_x halo_y halo_z gal_x gal_y gal_z spin_x spin_y spin_z
14000000000001 1862071877632 116.222 12.2501 18.9928 17.2389 12.2541 19.0208 17.2291 -353.545 8.352 -218.145
14000000000000 1811679674368 115.166 15.2801 24.8309 18.7155 15.2755 24.8618 18.7153 347.854 -62.755 -238.548
14000000000008 1366690496512 104.840 22.5502 23.4621 14.4984 22.5251 23.4573 14.4942 194.437 16.898 -91.734
14000000000005 1357382811648 104.600 14.7496 10.8187 5.3351 14.7679 10.8478 5.2948 -39.967 139.888 388.181
14000000000007 1349926387712 104.409 11.2660 20.7859 9.8958 11.2927 20.7873 9.9053 559.963 -267.377 -89.781
14000000000010 1243564605440 101.591 23.5751 22.2855 22.4373 23.5786 22.2930 22.4399 -34.198 -199.974 -191.695
14000000000009 1187653877760 100.046 22.6162 0.3922 18.5859 22.5918 0.3998 18.5689 85.584 199.372 -148.638
14000000000006 1150180392960 98.982 4.5528 13.3383 10.3882 4.5929 13.3566 10.3968 155.083 -182.262 -234.592
14000000000003 1137094164480 98.606 11.1339 17.9834 3.2108 11.1051 17.9923 3.2065 352.680 480.102 -338.690
14000000000002 1124720967680 98.245 23.8864 1.3387 15.2087 23.8466 1.3281 15.2140 -53.229 86.146 100.453
14000000000011 881552982016 90.582 4.3492 14.3489 13.4081 4.3572 14.3665 13.4005 6.617 -33.199 -124.790
14000000000012 826901463040 88.670 7.9181 8.9700 3.6392 7.9099 8.9832 3.6452 243.665 -160.260 -234.690
14000000000004 781891403776 87.033 9.2759 12.9929 1.7708 9.2674 12.9707 1.7730 -31.409 8.327 -179.486
14000000000017 742351831040 85.542 6.8792 19.1406 21.1018 6.8580 19.1520 21.1056 -331.682 -60.829 -173.165
14000000000014 734653186048 85.242 17.1234 5.1101 21.9481 17.1325 5.1141 21.9569 452.759 210.544 -139.111
14000000000015 679525482496 83.058 13.5727 19.8944 14.8173 13.5836 19.8884 14.8279 310.718 -38.294 81.084
14000000000013 594330583040 79.426 24.9020 21.6891 16.6779 24.9266 21.7001 16.7014 93.895 -89.963 33.903
14000000000020 584832057344 79.002 15.1021 11.3074 7.8984 15.0785 11.3281 7.9084 -53.328 57.342 -219.059
14000000000024 576848986112 78.643 6.2331 0.9761 9.0528 6.2190 0.9658 9.0818 -327.482 -88.886 -466.465
14000000000025 565154021376 78.107 15.0565 13.7684 0.0470 15.0517 13.7655 0.0479 164.258 74.698 16.905
14000000000019 559284224000 77.836 20.7786 6.2503 12.9155 20.7950 6.2333 12.9377 -273.949 -79.991 1.637
14000000000018 547257909248 77.275 20.2536 13.1901 10.3998 20.1935 13.1833 10.4232 -93.689 -511.566 -188.797
14000000000028 535310925824 76.708 5.5435 23.7475 9.3021 5.5501 23.7469 9.2910 -43.436 12.307 -103.770
14000000000030 534315565056 76.660 6.2151 14.5902 11.4962 6.2165 14.6000 11.5033 64.733 -0.107 93.570
14000000000016 515339255808 75.740 7.5019 9.3018 7.6525 7.4650 9.2806 7.7048 987.271 463.025 634.053
14000000000022 482069217280 74.073 20.6314 1.6644 18.8715 20.6842 1.6840 18.8765 162.719 -214.453 -258.984
14000000000036 480147406848 73.978 15.2090 1.0319 19.8199 15.2395 1.0526 19.7956 -721.813 -572.694 -1084.715
14000000000034 469696741376 73.436 9.8316 14.8475 5.4224 9.8272 14.8292 5.4107 -168.160 -35.065 167.018
14000000000033 468688044032 73.383 13.2558 0.2931 17.1170 13.2501 0.2870 17.1141 4.272 49.993 -46.112
14000000000023 464031875072 73.139 11.2156 17.6027 5.8651 11.2185 17.5688 5.8407 36.263 -242.619 -11.827
14000000000040 430713241600 71.345 20.5688 5.5815 17.1663 20.5780 5.5752 17.1863 401.702 -220.130 -138.726
14000000000032 428031311872 71.196 15.0745 23.7502 17.9833 15.0758 23.7252 17.9246 850.034 -680.896 311.277
14000000000041 418148417536 70.642 7.1935 11.2890 0.5040 7.1955 11.2889 0.5081 40.398 69.916 49.826
14000000000031 417806286848 70.624 12.2313 6.2689 3.3113 12.2302 6.2743 3.3188 -13.136 -323.300 219.960
14000000000035 413449355264 70.380 4.9934 24.0389 9.7025 4.9951 24.0445 9.6958 51.291 -69.493 -10.457
14000000000045 405326102528 69.915 21.2637 12.3026 12.0225 21.2631 12.2995 12.0160 30.120 30.398 -39.171
14000000000042 391824343040 69.132 14.3576 21.5791 9.7820 14.3331 21.5597 9.7788 -4.855 53.803 76.653
14000000000039 381433806848 68.513 24.8809 1.9561 15.2316 24.8829 1.9646 15.2259 72.453 -61.739 -64.542
14000000000044 378699317248 68.351 21.0613 15.6975 19.9288 21.0608 15.6924 19.9307 -148.497 65.852 -34.253
14000000000047 368027992064 67.701 1.3631 17.4505 3.7631 1.3614 17.4468 3.7722 177.319 19.821 -45.817
14000000000048 365897777152 67.570 12.3987 10.5021 7.3698 12.4068 10.4819 7.3899 245.025 172.305 100.187
14000000000043 355540434944 66.925 20.1146 20.4923 17.0475 20.1309 20.4828 17.0467 51.986 12.778 24.216
14000000000051 350123786240 66.584 9.4281 21.9591 12.5789 9.4222 21.9518 12.5718 -53.405 90.733 23.625
14000000000021 350070964224 66.581 5.4699 24.8357 9.3177 5.4108 24.7649 9.3471 603.631 -740.722 -181.296
14000000000050 343250010112 66.148 7.3190 24.1075 12.8389 7.3186 24.1151 12.8360 -38.897 17.129 51.359
14000000000038 329080045568 65.223 5.6007 3.6248 14.8692 5.6240 3.6347 14.8542 -35.607 50.221 -38.400
14000000000058 308299268096 63.818 10.3736 3.7145 15.0192 10.3698 3.7115 14.9919 -66.225 131.903 34.296
14000000000052 307648200704 63.775 24.4733 23.2775 20.9307 24.4784 23.2807 20.9308 -64.060 -16.761 33.433
14000000000037 306491621376 63.697 24.3736 5.1684 14.8460 24.3896 5.2204 14.8669 93.649 186.081 -68.681
14000000000049 301518815232 63.348 21.5572 19.6735 15.1399 21.5678 19.6761 15.1426 -27.451 52.809 -45.655
14000000000055 301357105152 63.336 1.0865 15.8259 7.1291 1.1040 15.8170 7.1644 36.629 2.024 1.888
14000000000054 297142550528 63.040 9.8437 14.6414 4.5253 9.8323 14.6425 4.5284 -67.090 -77.282 -35.012
14000000000046 290900017152 62.598 23.1539 15.6337 13.1499 23.1627 15.6542 13.1558 2.198 51.163 -399.811
14000000000053 284636643328 62.144 15.8643 24.1330 16.5255 15.8539 24.1573 16.5494 59.118 130.443 -178.099
14000000000029 282898038784 62.016 21.8896 5.0315 14.5098 21.9138 5.0068 14.5392 179.715 126.623 -98.213
14000000000062 278930063360 61.726 2.7483 13.0041 10.3425 2.7549 13.0050 10.3360 20.190 -28.248 49.032
14000000000056 275991461888 61.509 17.6046 9.9352 23.1448 17.6135 9.9278 23.1428 9.154 29.442 -11.174
14000000000061 269022101504 60.988 1.6755 12.8256 10.1448 1.6662 12.8239 10.1435 1.773 116.241 -14.249
14000000000068 264457699328 60.638 16.0554 22.9018 16.8204 16.0438 22.9023 16.8174 4.061 84.267 -155.915
14000000000057 263828504576 60.589 10.4087 20.9413 5.6490 10.3996 20.9247 5.6560 -74.811 42.811 124.965
14000000000064 262370574336 60.479 7.8230 23.4856 7.9193 7.8132 23.4859 7.9331 3.332 20.905 -74.294
14000000000067 259582001152 60.266 21.4072 17.6353 19.5426 21.4159 17.6307 19.5452 -23.490 -104.913 -185.341
14000000000027 257909817344 60.135 17.8860 5.0005 21.0381 17.8697 5.0280 21.0044 178.806 332.561 144.735
14000000000071 252777480192 59.732 13.4554 7.8445 4.3558 13.4555 7.8439 4.3508 16.462 -0.273 -16.024
14000000000077 243851018240 59.021 15.3281 16.5876 19.3540 15.3356 16.5799 19.3661 -36.974 -166.839 -130.357
14000000000075 242408882176 58.903 19.7047 5.2957 18.1333 19.7342 5.3078 18.1471 153.665 -190.166 -73.837
14000000000059 241180000256 58.804 4.7814 21.8213 11.4197 4.7916 21.8103 11.4209 -48.988 -30.144 -29.693
14000000000026 240975953920 58.788 14.4484 20.1918 14.1853 14.4187 20.1886 14.2135 -33.952 -115.497 -37.129
14000000000060 239862513664 58.699 9.0062 16.4059 24.7667 8.9996 16.3973 24.7787 18.183 -44.954 14.035
14000000000070 238551580672 58.591 14.8509 22.4133 21.0877 14.8465 22.4177 21.0826 0.791 40.735 43.997
