haloID mh rh halo_x halo_y halo_z gal_x gal_y gal_z spin_x spin_y spin_z
28000000000001 373687488348160 1518.192 5.5632 75.6873 47.8334 5.3055 75.4801 47.8813 10559.072 -50681.148 10688.880
28000000000003 307041910390784 1422.005 52.7998 4.9197 20.0635 52.6589 4.8977 20.0376 -7461.479 5318.493 2314.041
28000000000002 300211872202752 1411.312 8.8655 35.2843 54.4320 8.8287 35.4377 54.4528 12536.072 17189.994 6194.384
28000000000005 198486192553984 1229.491 76.6705 89.4742 41.8847 76.6497 89.5993 41.7681 -36948.383 16499.713 13355.165
28000000000004 196278629695488 1224.920 78.1654 77.1784 42.5653 78.4613 77.5133 42.8515 -62970.230 19963.172 2946.797
28000000000000 187096425824256 1205.522 17.1085 79.7678 52.7178 16.9026 79.6659 52.7892 -12048.522 23612.346 6668.949
28000000000006 130211144269824 1068.318 61.7226 33.2962 20.6576 61.1017 33.2563 20.5228 10148.789 11655.172 -87733.711
28000000000009 95861631614976 964.669 87.6713 50.5788 4.6929 87.6810 50.5406 4.6741 1389.391 2756.894 -2168.803
28000000000008 93881265815552 957.987 84.9219 47.6131 7.9736 84.9195 47.5335 8.0407 -5446.306 2772.508 1065.644
28000000000007 92568826150912 953.479 72.4475 28.8073 26.8023 72.5321 28.7743 26.8563 -651.786 115.585 1598.967
28000000000011 78165451997184 901.221 12.2352 77.3266 46.1887 12.2942 77.3766 46.2900 -16955.506 -23900.010 19342.744
28000000000010 75367498907648 890.314 54.3010 96.4796 20.3340 54.3122 96.4501 20.3522 5332.674 -1103.110 2456.720
28000000000015 74684490055680 887.612 37.3585 44.8159 97.1804 37.3450 44.8447 97.2113 2903.281 -4831.521 -1478.284
28000000000017 67434170023936 857.927 33.7630 66.1421 9.3840 33.7458 66.1691 9.3920 -1443.756 -2907.321 -3264.303
28000000000012 62208008519680 835.159 76.8227 61.8617 70.9275 76.9095 61.8644 70.8413 1180.595 364.438 -172.265
28000000000014 60606170267648 827.917 69.2591 81.3388 87.3821 69.2511 81.3104 87.5109 -3919.425 7738.133 -535.701
28000000000019 58008113512448 815.930 13.4446 77.8158 49.8088 13.4132 77.7870 49.8691 -3095.936 -23180.715 -5544.754
28000000000020 57447993573376 813.268 82.3974 13.1701 57.8623 82.3802 13.1723 57.8500 1182.018 931.080 -604.529
28000000000018 56803379380224 810.236 74.3577 5.3973 76.6362 74.2512 5.3469 76.6859 4161.275 -26504.037 -7255.583
28000000000021 53382358237184 793.658 79.8656 1.5783 40.3663 79.8602 1.5616 40.3766 -1778.332 -2528.536 -6899.551
28000000000016 48542760566784 768.882 67.8054 3.1415 98.9822 67.7953 3.0881 98.9957 -139.203 3265.638 -9124.535
28000000000023 48139478237184 766.777 54.6201 35.9786 34.3602 54.6222 35.9584 34.3138 461.643 819.396 -343.302
28000000000024 47468951633920 763.171 92.4199 56.9700 1.4836 92.4123 57.0456 1.7401 6600.783 9993.026 -3148.675
28000000000013 47460063903744 763.120 34.8696 78.0173 61.2600 34.9754 78.0364 61.2763 -1548.625 2818.741 -91.614
28000000000022 44872740372480 749.003 75.3650 26.9511 61.2328 75.4249 26.9613 61.1898 2183.819 -5250.938 7463.302
28000000000027 42853476597760 737.570 66.3468 53.8505 83.3639 66.3282 53.8318 83.4161 -307.057 -2441.818 -1565.516
28000000000025 42420091748352 735.096 81.3880 8.5871 68.3423 81.3181 8.5475 68.3810 -3344.007 1916.365 1157.978
28000000000032 40183240065024 721.970 21.2369 78.7303 49.9912 21.2262 78.7349 49.9926 1844.421 -99.137 1140.622
28000000000033 39928436097024 720.401 85.1208 82.4944 39.2785 85.1169 82.5139 39.2830 2.615 -2737.676 -878.466
28000000000026 39752535375872 719.359 37.7372 88.4994 43.8324 37.5588 88.3626 43.7570 9552.755 -12406.377 681.713
28000000000028 39247251767296 716.275 83.9949 62.9421 45.0916 83.9787 62.9708 45.0315 -294.985 2724.169 1972.455
28000000000034 39055043592192 715.111 70.7284 36.6281 33.7205 70.7077 36.6209 33.6908 3325.564 56.683 -2693.358
28000000000042 38260298481664 710.260 91.1893 52.4664 92.7134 91.0917 52.3825 92.5991 10703.004 -31939.336 6929.479
28000000000031 37564924821504 705.885 47.5173 15.8932 8.9090 47.5160 15.8849 8.9123 90.100 17.079 1260.346
28000000000037 36486351159296 699.074 95.7378 63.6312 53.7190 95.7002 63.6305 53.7293 974.813 962.316 951.960
28000000000038 36402095980544 698.557 4.4411 59.7195 54.0793 4.4530 59.6446 54.1104 8220.558 -1461.259 -7029.283
28000000000041 35240655454208 691.062 58.1429 42.1195 89.9181 58.1297 42.1256 89.9250 2389.367 3385.270 536.642
28000000000035 35146130522112 690.420 85.2317 45.3104 23.9202 85.2607 45.3006 23.9371 -2098.730 -1609.061 -1386.044
28000000000045 34696392081408 687.455 99.7859 71.1782 36.6089 99.7757 71.1964 36.5734 -7825.958 -1949.403 -6137.837
28000000000051 32986821033984 676.006 85.0827 47.5506 22.8601 85.0329 47.6328 22.7751 -6188.311 -2039.947 1052.546
28000000000040 32793453133824 674.643 65.9311 80.3878 62.5491 65.9178 80.3693 62.5283 -132.500 -494.782 343.939
28000000000029 32441261621248 672.236 24.7496 66.2668 10.0260 24.7124 66.2166 10.0810 4311.567 386.599 1389.564
28000000000043 32367716597760 671.704 78.0886 30.4123 55.8866 78.0751 30.4338 55.8977 -2243.690 3161.162 -3420.741
28000000000047 31014770442240 662.231 74.6518 54.6231 40.1049 74.6378 54.6284 40.0879 -1139.582 455.389 3658.537
28000000000053 29965724680192 654.696 13.3149 98.0248 59.3089 13.3066 97.9863 59.2873 1284.060 3234.424 1363.195
28000000000039 29808935305216 653.534 79.1317 48.7269 57.9308 79.1311 48.7163 57.8636 -9966.213 11869.751 -7834.354
28000000000044 29644514394112 652.338 43.6906 77.6070 35.1695 43.8013 77.5353 35.2132 -8643.887 -9054.357 -1608.668
28000000000052 29245669638144 649.384 85.6411 61.3673 40.2570 85.6416 61.3735 40.2610 2805.069 287.275 -3360.677
28000000000046 28817640914944 646.208 13.4488 14.0612 59.9207 13.4403 14.1287 59.9270 2418.666 1448.629 1822.546
28000000000055 28526453456896 644.046 60.1110 46.7433 96.1115 60.0109 46.7323 96.1337 -3160.866 3899.922 -6314.247
28000000000048 27433430417408 635.698 96.5822 20.2551 45.8614 96.5752 20.1285 45.8500 1443.924 1136.486 499.146
28000000000050 27150052753408 633.483 67.0716 31.1060 23.6848 67.0285 31.1160 23.6814 -443.234 -211.117 -216.999
28000000000062 26976744112128 632.162 7.0355 40.0582 83.1210 7.0060 40.0526 83.0903 -12466.666 -5599.395 5484.587
28000000000058 26733432537088 630.231 77.8133 50.2166 59.6352 77.7195 50.2278 59.6592 -2008.943 -3660.013 -4837.578
28000000000066 26331972632576 627.070 31.3226 10.5028 11.8961 31.3194 10.5520 11.8832 4293.459 2397.930 6903.941
28000000000059 26110574198784 625.300 54.1151 46.2056 79.1257 54.1105 46.1521 79.1222 1521.443 -1293.159 -1579.852
28000000000060 25779555532800 622.656 70.1383 56.9234 71.6880 70.1185 56.9280 71.6765 -190.941 -1742.142 -2342.632
28000000000030 25642229825536 621.547 36.1630 10.5097 7.9628 36.1567 10.5448 7.9185 -1790.966 7238.828 1263.768
28000000000056 25620683685888 621.377 69.7514 55.6127 74.5666 69.7551 55.6129 74.5474 -1903.171 8.897 2564.466
28000000000068 25182833999872 617.828 13.8334 75.3976 26.4132 13.8145 75.4135 26.4952 3997.065 -8181.670 -2294.374
28000000000061 23925708816384 607.374 29.7782 22.9509 94.3942 29.7496 22.9911 94.4022 2098.912 1621.848 413.317
28000000000076 23237662605312 601.469 69.3162 64.9701 96.7920 69.3054 64.9551 96.7781 -190.268 -2326.387 1351.683
28000000000071 23020051628032 599.595 50.4131 86.9918 12.5124 50.2989 86.9616 12.4452 7816.251 1856.196 -13700.801
28000000000064 22542643363840 595.428 96.0055 56.1410 96.6530 96.0604 56.1492 96.6131 453.567 -1026.754 373.138
28000000000070 22535324303360 595.364 57.6273 7.8772 19.7441 57.4791 7.8765 19.7695 -5619.561 6967.183 -20936.609
28000000000036 22380470599680 593.990 58.6429 41.7233 38.2745 58.7161 41.6962 38.2106 -1417.577 -879.456 -303.135
28000000000069 21811288866816 588.893 51.8748 19.5607 10.9058 51.8659 19.6041 10.9119 -5145.293 -1590.305 6553.660
28000000000065 21256627814400 583.876 64.3670 80.3777 95.7660 64.3217 80.3140 95.7724 -2911.436 7246.662 3009.653
28000000000063 20867211853824 580.282 63.1176 54.5984 89.2537 63.0653 54.5947 89.3741 -3435.990 4065.532 -2038.877
