haloID mh rh halo_x halo_y halo_z gal_x gal_y gal_z spin_x spin_y spin_z
1976 999020928854 210.800 58.0080 20.6550 52.7660 58.0200 20.6590 52.7610 695.554 695.554 695.554
2019 997916430085 210.710 20.2170 65.3860 48.8350 20.2180 65.3860 48.8350 1765.863 1765.863 1765.863
1723 997899447337 210.710 11.2730 62.6140 73.0450 11.2740 62.6260 73.0510 -792.198 -792.198 -792.198
874 997356699515 210.680 23.8510 30.7870 59.8600 23.8230 30.8080 59.8490 -2200.369 -2200.369 -2200.369
1995 996964746540 210.650 54.7940 108.4020 103.0560 54.7930 108.4020 103.0590 2163.544 2163.544 2163.544
1870 996951063815 210.640 11.1450 68.7810 41.5920 11.1440 68.7710 41.6010 1931.329 1931.329 1931.329
1980 996176927581 210.590 82.9110 81.7950 15.2260 82.9110 81.7950 15.2260 2069.412 2069.412 2069.412
2459 995605601585 210.540 108.4670 87.9520 85.4190 108.4670 87.9530 85.4190 -980.276 -980.276 -980.276
1997 994665950675 210.480 15.0200 17.8580 66.2300 15.0210 17.8580 66.2320 779.811 779.811 779.811
1937 993447911721 210.390 109.2450 52.4520 106.7560 109.2420 52.4540 106.7570 -1363.799 -1363.799 -1363.799
1946 993002707018 210.370 59.6840 100.7020 45.1530 59.6780 100.7050 45.1540 1332.124 1332.124 1332.124
1378 992925027934 210.360 86.1860 70.6310 52.9510 86.2100 70.6610 52.9870 -238.807 -238.807 -238.807
1942 992907039960 210.360 12.2010 20.8170 34.6830 12.2020 20.8170 34.6830 881.026 881.026 881.026
2439 992784948387 210.350 88.7610 23.7900 46.4780 88.7600 23.7900 46.4810 986.077 986.077 986.077
1785 992368641827 210.320 38.4480 81.8750 53.4550 38.4500 81.8640 53.4560 1666.021 1666.021 1666.021
2392 992017859330 210.290 41.0100 1.2740 109.9510 41.0130 1.2740 109.9480 240.948 240.948 240.948
2174 991392314644 210.250 3.4630 37.3810 30.3970 3.4630 37.3830 30.3960 -140.813 -140.813 -140.813
1592 991035892603 210.220 87.3730 76.3890 78.6100 87.3490 76.4030 78.6100 -144.990 -144.990 -144.990
1888 990881664174 210.220 98.6290 106.1140 73.1610 98.6300 106.1150 73.1630 137.138 137.138 137.138
1964 990480565075 210.190 58.3500 26.7110 88.0500 58.3470 26.7160 88.0530 -327.420 -327.420 -327.420
1949 989994025591 210.150 86.7110 24.6810 67.7470 86.7050 24.6880 67.7450 604.219 604.219 604.219
2125 989932341852 210.140 34.7200 87.3010 88.0120 34.7220 87.3150 88.0080 -763.860 -763.860 -763.860
2123 989669074308 210.130 60.2350 32.6240 2.1130 60.2350 32.6230 2.1130 22.181 22.181 22.181
2043 989010804510 210.080 89.8270 62.3060 33.2280 89.8260 62.3060 33.2280 975.514 975.514 975.514
2058 988323130825 210.030 35.4690 94.2970 35.4880 35.4690 94.2940 35.4850 2389.676 2389.676 2389.676
1999 987759291548 209.990 71.0770 14.0520 106.8970 71.0780 14.0520 106.8960 1051.120 1051.120 1051.120
2480 987315281109 209.960 83.6370 109.7370 57.2790 83.6350 109.7370 57.2780 1261.051 1261.051 1261.051
2034 987108523878 209.960 22.8370 3.8350 23.0920 22.8360 3.8240 23.1010 2257.580 2257.580 2257.580
2039 986699201870 209.920 28.7220 107.1950 18.5510 28.7190 107.1950 18.5510 -417.958 -417.958 -417.958
1911 986325244642 209.880 65.2840 98.2450 69.7510 65.3060 98.2350 69.7430 -110.503 -110.503 -110.503
