haloID mh rh halo_x halo_y halo_z gal_x gal_y gal_z spin_x spin_y spin_z
143 9984567418420 454.050 33.5070 24.8790 66.3260 33.3080 25.0270 66.0970 -2908.158 -2908.158 -2908.158
83 9947462233802 453.480 109.0830 73.2490 83.2290 108.5580 72.9210 82.8580 -325.246 -325.246 -325.246
155 9923964264868 453.120 16.9450 12.3830 43.1450 16.8330 12.3330 43.2130 565.917 565.917 565.917
211 9922063078028 453.110 63.4640 34.8210 100.1070 63.4420 34.8310 100.1100 2164.317 2164.317 2164.317
220 9889673697656 452.600 5.9230 69.4030 108.8880 5.9330 69.3990 108.8900 440.390 440.390 440.390
209 9820660442713 451.530 57.7420 101.4450 68.0450 57.7220 101.4420 68.0390 4508.038 4508.038 4508.038
240 9798048291018 451.210 74.4750 18.5630 57.4300 74.4860 18.5630 57.4430 -2547.470 -2547.470 -2547.470
208 9781355590583 450.940 71.3160 81.3370 38.7190 71.3140 81.3480 38.7180 -1501.026 -1501.026 -1501.026
181 9775879969140 450.870 106.0670 87.8140 82.8720 106.1100 87.9490 82.8880 3879.817 3879.817 3879.817
53 9696832374323 449.640 110.0010 50.1850 5.9910 109.4810 51.1350 5.2910 8459.829 8459.829 8459.829
124 9622675548646 448.480 62.9590 41.9290 110.6570 63.0870 42.0980 0.1420 1790.419 1790.419 1790.419
134 9547623364336 447.330 79.1850 65.7390 37.7610 79.1750 65.5800 37.7780 -25370.047 -25370.047 -25370.047
166 9468160126002 446.070 43.4270 57.4970 78.3190 43.4010 57.4510 78.4560 22561.672 22561.672 22561.672
156 9455169294145 445.870 19.6360 9.9680 27.4910 19.6360 9.9680 27.4090 -1525.871 -1525.871 -1525.871
215 9453337158102 445.850 103.5750 33.1070 30.5770 103.5860 33.1260 30.5750 14271.720 14271.720 14271.720
234 9405826030102 445.080 71.1450 93.0480 51.0250 71.1230 93.0610 51.0290 -7479.886 -7479.886 -7479.886
235 9299615979312 443.400 19.7790 30.3450 10.6120 19.7790 30.3340 10.6030 2282.288 2282.288 2282.288
250 9160762645021 441.200 1.1460 55.1310 3.9060 1.1470 55.1200 3.9030 4719.363 4719.363 4719.363
169 9124725015397 440.620 37.6570 10.7540 45.6930 37.8920 10.7720 45.5920 11992.819 11992.819 11992.819
195 9052165050110 439.440 49.2740 4.6850 75.2000 49.2760 4.7050 75.2020 16650.399 16650.399 16650.399
224 9051653211322 439.450 42.3200 33.6850 60.7330 42.3290 33.6980 60.7270 -5194.194 -5194.194 -5194.194
251 9038519299480 439.210 45.2700 98.9620 77.8960 45.2740 98.9490 77.8890 4248.580 4248.580 4248.580
182 9024948618656 439.000 31.2350 5.8070 38.6760 31.2370 5.8430 38.6600 -8005.512 -8005.512 -8005.512
